表層形,品詞,品詞細分類1,品詞細分類2,品詞細分類3,活用型,活用形,原形,読み,発音
の,助詞,連体化,*,*,*,*,の,ノ,ノ
中,名詞,非自立,副詞可能,*,*,*,中,ナカ,ナカ
借金,名詞,サ変接続,*,*,*,*,借金,シャッキン,シャッキン
返済,名詞,サ変接続,*,*,*,*,返済,ヘンサイ,ヘンサイ
　,記号,空白,*,*,*,*,　,　,　
　,記号,空白,*,*,*,*,　,　,　
印税,名詞,一般,*,*,*,*,印税,インゼイ,インゼイ
収入,名詞,一般,*,*,*,*,収入,シュウニュウ,シューニュー
　,記号,空白,*,*,*,*,　,　,　
フェンダー・ギブソン,名詞,一般,*,*,*,*,*
　,記号,空白,*,*,*,*,　,　,　
オモチャ,名詞,一般,*,*,*,*,オモチャ,オモチャ,オモチャ
じゃ,助詞,副助詞,*,*,*,*,じゃ,ジャ,ジャ
ねぇ,助動詞,*,*,*,特殊・ナイ,音便基本形,ない,ネェ,ネー
ん,名詞,非自立,一般,*,*,*,ん,ン,ン
だ,助動詞,*,*,*,特殊・ダ,基本形,だ,ダ,ダ
知ら,動詞,自立,*,*,五段・ラ行,未然形,知る,シラ,シラ
ない,助動詞,*,*,*,特殊・ナイ,基本形,ない,ナイ,ナイ
同士,名詞,一般,*,*,*,*,同士,ドウシ,ドーシ
　,記号,空白,*,*,*,*,　,　,　
体制,名詞,一般,*,*,*,*,体制,タイセイ,タイセイ
と,助詞,並立助詞,*,*,*,*,と,ト,ト
犠牲,名詞,一般,*,*,*,*,犠牲,ギセイ,ギセイ
　,記号,空白,*,*,*,*,　,　,　
変態,名詞,サ変接続,*,*,*,*,変態,ヘンタイ,ヘンタイ
行為,名詞,サ変接続,*,*,*,*,行為,コウイ,コーイ
　,記号,空白,*,*,*,*,　,　,　
ロックンロール,名詞,一般,*,*,*,*,ロックンロール,ロックンロール,ロックンロール
島国,名詞,一般,*,*,*,*,島国,シマグニ,シマグニ
社会,名詞,一般,*,*,*,*,社会,シャカイ,シャカイ
　,記号,空白,*,*,*,*,　,　,　
大陸,名詞,一般,*,*,*,*,大陸,タイリク,タイリク
社会,名詞,一般,*,*,*,*,社会,シャカイ,シャカイ
　,記号,空白,*,*,*,*,　,　,　
ライバル,名詞,一般,*,*,*,*,ライバル,ライバル,ライバル
意識,名詞,サ変接続,*,*,*,*,意識,イシキ,イシキ
　,記号,空白,*,*,*,*,　,　,　
劣等,名詞,一般,*,*,*,*,劣等,レットウ,レットー
感,名詞,接尾,一般,*,*,*,感,カン,カン
おはよう,感動詞,*,*,*,*,*,おはよう,オハヨウ,オハヨー
　,記号,空白,*,*,*,*,　,　,　
おやすみ,感動詞,*,*,*,*,*,おやすみ,オヤスミ,オヤスミ
　,記号,空白,*,*,*,*,　,　,　
こんにちわ,感動詞,*,*,*,*,*,こんにちわ,コンニチワ,コンニチワ
　,記号,空白,*,*,*,*,　,　,　
いい,形容詞,自立,*,*,形容詞・イイ,基本形,いい,イイ,イイ
だろ,助動詞,*,*,*,特殊・ダ,未然形,だ,ダロ,ダロ
　,記号,空白,*,*,*,*,　,　,　
イヤイヤ,副詞,一般,*,*,*,*,イヤイヤ,イヤイヤ,イヤイヤ
　,記号,空白,*,*,*,*,　,　,　
さようなら,感動詞,*,*,*,*,*,さようなら,サヨウナラ,サヨーナラ
今,名詞,副詞可能,*,*,*,*,今,イマ,イマ
歩い,動詞,自立,*,*,五段・カ行イ音便,連用タ接続,歩く,アルイ,アルイ
て,助詞,接続助詞,*,*,*,*,て,テ,テ
いる,動詞,非自立,*,*,一段,基本形,いる,イル,イル
この,連体詞,*,*,*,*,*,この,コノ,コノ
道,名詞,一般,*,*,*,*,道,ミチ,ミチ
は,助詞,係助詞,*,*,*,*,は,ハ,ワ
いつか,名詞,副詞可能,*,*,*,*,いつか,イツカ,イツカ
懐かしく,形容詞,自立,*,*,形容詞・イ段,連用テ接続,懐かしい,ナツカシク,ナツカシク
なる,動詞,自立,*,*,五段・ラ行,基本形,なる,ナル,ナル
だろ,助動詞,*,*,*,特殊・ダ,未然形,だ,ダロ,ダロ
う,助動詞,*,*,*,不変化型,基本形,う,ウ,ウ
今,名詞,副詞可能,*,*,*,*,今,イマ,イマ
歩い,動詞,自立,*,*,五段・カ行イ音便,連用タ接続,歩く,アルイ,アルイ
て,助詞,接続助詞,*,*,*,*,て,テ,テ
いる,動詞,非自立,*,*,一段,基本形,いる,イル,イル
この,連体詞,*,*,*,*,*,この,コノ,コノ
道,名詞,一般,*,*,*,*,道,ミチ,ミチ
が,助詞,格助詞,一般,*,*,*,が,ガ,ガ
いつか,名詞,副詞可能,*,*,*,*,いつか,イツカ,イツカ
懐かしく,形容詞,自立,*,*,形容詞・イ段,連用テ接続,懐かしい,ナツカシク,ナツカシク
なれ,動詞,自立,*,*,五段・ラ行,仮定形,なる,ナレ,ナレ
ば,助詞,接続助詞,*,*,*,*,ば,バ,バ
いい,形容詞,非自立,*,*,形容詞・イイ,基本形,いい,イイ,イイ
今,名詞,副詞可能,*,*,*,*,今,イマ,イマ
歩い,動詞,自立,*,*,五段・カ行イ音便,連用タ接続,歩く,アルイ,アルイ
て,助詞,接続助詞,*,*,*,*,て,テ,テ
いる,動詞,非自立,*,*,一段,基本形,いる,イル,イル
この,連体詞,*,*,*,*,*,この,コノ,コノ
道,名詞,一般,*,*,*,*,道,ミチ,ミチ
は,助詞,係助詞,*,*,*,*,は,ハ,ワ
いつか,名詞,副詞可能,*,*,*,*,いつか,イツカ,イツカ
懐かしく,形容詞,自立,*,*,形容詞・イ段,連用テ接続,懐かしい,ナツカシク,ナツカシク
なる,動詞,自立,*,*,五段・ラ行,基本形,なる,ナル,ナル
だろ,助動詞,*,*,*,特殊・ダ,未然形,だ,ダロ,ダロ
う,助動詞,*,*,*,不変化型,基本形,う,ウ,ウ
今,名詞,副詞可能,*,*,*,*,今,イマ,イマ
歩い,動詞,自立,*,*,五段・カ行イ音便,連用タ接続,歩く,アルイ,アルイ
て,助詞,接続助詞,*,*,*,*,て,テ,テ
いる,動詞,非自立,*,*,一段,基本形,いる,イル,イル
この,連体詞,*,*,*,*,*,この,コノ,コノ
道,名詞,一般,*,*,*,*,道,ミチ,ミチ
が,助詞,格助詞,一般,*,*,*,が,ガ,ガ
いつか,名詞,副詞可能,*,*,*,*,いつか,イツカ,イツカ
懐かしく,形容詞,自立,*,*,形容詞・イ段,連用テ接続,懐かしい,ナツカシク,ナツカシク
なる,動詞,自立,*,*,五段・ラ行,基本形,なる,ナル,ナル
はず,名詞,非自立,一般,*,*,*,はず,ハズ,ハズ
だ,助動詞,*,*,*,特殊・ダ,基本形,だ,ダ,ダ
そんな,連体詞,*,*,*,*,*,そんな,ソンナ,ソンナ
こんな,連体詞,*,*,*,*,*,こんな,コンナ,コンナ
で,助動詞,*,*,*,特殊・ダ,連用形,だ,デ,デ
結局,名詞,副詞可能,*,*,*,*,結局,ケッキョク,ケッキョク
また,接続詞,*,*,*,*,*,また,マタ,マタ
同じ,連体詞,*,*,*,*,*,同じ,オナジ,オナジ
元,接頭詞,名詞接続,*,*,*,*,元,モト,モト
い,動詞,自立,*,*,一段,連用形,いる,イ,イ
た,助動詞,*,*,*,特殊・タ,基本形,た,タ,タ
ところ,名詞,非自立,副詞可能,*,*,*,ところ,トコロ,トコロ
に,助詞,格助詞,一般,*,*,*,に,ニ,ニ
立っ,動詞,自立,*,*,五段・タ行,連用タ接続,立つ,タッ,タッ
て,助詞,接続助詞,*,*,*,*,て,テ,テ
いる,動詞,非自立,*,*,一段,基本形,いる,イル,イル
なんだかんだ,副詞,一般,*,*,*,*,なんだかんだ,ナンダカンダ,ナンダカンダ
で,助動詞,*,*,*,特殊・ダ,連用形,だ,デ,デ
結局,名詞,副詞可能,*,*,*,*,結局,ケッキョク,ケッキョク
また,接続詞,*,*,*,*,*,また,マタ,マタ
同じ,連体詞,*,*,*,*,*,同じ,オナジ,オナジ
元,接頭詞,名詞接続,*,*,*,*,元,モト,モト
い,動詞,自立,*,*,一段,連用形,いる,イ,イ
た,助動詞,*,*,*,特殊・タ,基本形,た,タ,タ
ところ,名詞,非自立,副詞可能,*,*,*,ところ,トコロ,トコロ
に,助詞,格助詞,一般,*,*,*,に,ニ,ニ
立っ,動詞,自立,*,*,五段・タ行,連用タ接続,立つ,タッ,タッ
て,助詞,接続助詞,*,*,*,*,て,テ,テ
いる,動詞,非自立,*,*,一段,基本形,いる,イル,イル
今日,名詞,副詞可能,*,*,*,*,今日,キョウ,キョー
と,助詞,並立助詞,*,*,*,*,と,ト,ト
昨日,名詞,副詞可能,*,*,*,*,昨日,キノウ,キノー
の,助詞,連体化,*,*,*,*,の,ノ,ノ
区別,名詞,サ変接続,*,*,*,*,区別,クベツ,クベツ
も,助詞,係助詞,*,*,*,*,も,モ,モ
つか,動詞,自立,*,*,五段・カ行イ音便,未然形,つく,ツカ,ツカ
ない,助動詞,*,*,*,特殊・ナイ,基本形,ない,ナイ,ナイ
そんな,連体詞,*,*,*,*,*,そんな,ソンナ,ソンナ
日々,名詞,副詞可能,*,*,*,*,日々,ヒビ,ヒビ
だ,助動詞,*,*,*,特殊・ダ,基本形,だ,ダ,ダ
な,助詞,終助詞,*,*,*,*,な,ナ,ナ
　,記号,空白,*,*,*,*,　,　,　
嗚呼,感動詞,*,*,*,*,*,嗚呼,アア,アー
次,名詞,一般,*,*,*,*,次,ツギ,ツギ
の,助詞,連体化,*,*,*,*,の,ノ,ノ
悪魔,名詞,一般,*,*,*,*,悪魔,アクマ,アクマ
が,助詞,格助詞,一般,*,*,*,が,ガ,ガ
もぞもぞ,副詞,一般,*,*,*,*,もぞもぞ,モゾモゾ,モゾモゾ
と,助詞,副詞化,*,*,*,*,と,ト,ト
頭,名詞,一般,*,*,*,*,頭,アタマ,アタマ
を,助詞,格助詞,一般,*,*,*,を,ヲ,ヲ
上げ,動詞,自立,*,*,一段,連用形,上げる,アゲ,アゲ
て,助詞,接続助詞,*,*,*,*,て,テ,テ
やっつける,動詞,自立,*,*,一段,基本形,やっつける,ヤッツケル,ヤッツケル
はず,名詞,非自立,一般,*,*,*,はず,ハズ,ハズ
が,助詞,格助詞,一般,*,*,*,が,ガ,ガ
　,記号,空白,*,*,*,*,　,　,　
握手,名詞,サ変接続,*,*,*,*,握手,アクシュ,アクシュ
し,動詞,自立,*,*,サ変・スル,連用形,する,シ,シ
て,助詞,接続助詞,*,*,*,*,て,テ,テ
まるで,副詞,一般,*,*,*,*,まるで,マルデ,マルデ
秋,名詞,一般,*,*,*,*,秋,アキ,アキ
の,助詞,連体化,*,*,*,*,の,ノ,ノ
枯れ葉,名詞,一般,*,*,*,*,枯れ葉,カレハ,カレハ
の,助詞,連体化,*,*,*,*,の,ノ,ノ
よう,名詞,非自立,助動詞語幹,*,*,*,よう,ヨウ,ヨー
に,助詞,副詞化,*,*,*,*,に,ニ,ニ
カサカサ,名詞,形容動詞語幹,*,*,*,*,カサカサ,カサカサ,カサカサ
の,助詞,連体化,*,*,*,*,の,ノ,ノ
羽根,名詞,一般,*,*,*,*,羽根,ハネ,ハネ
が,助詞,格助詞,一般,*,*,*,が,ガ,ガ
　,記号,空白,*,*,*,*,　,　,　
また,接続詞,*,*,*,*,*,また,マタ,マタ
ひとつ,名詞,副詞可能,*,*,*,*,ひとつ,ヒトツ,ヒトツ
…,記号,一般,*,*,*,*,…,…,…
重い,形容詞,自立,*,*,形容詞・アウオ段,基本形,重い,オモイ,オモイ
鉛,名詞,一般,*,*,*,*,鉛,ナマリ,ナマリ
を,助詞,格助詞,一般,*,*,*,を,ヲ,ヲ
海,名詞,一般,*,*,*,*,海,ウミ,ウミ
に,助詞,格助詞,一般,*,*,*,に,ニ,ニ
沈め,動詞,自立,*,*,一段,連用形,沈める,シズメ,シズメ
て,助詞,接続助詞,*,*,*,*,て,テ,テ
やっと,副詞,一般,*,*,*,*,やっと,ヤット,ヤット
睡魔,名詞,一般,*,*,*,*,睡魔,スイマ,スイマ
が,助詞,格助詞,一般,*,*,*,が,ガ,ガ
やって来る,動詞,自立,*,*,カ変・来ル,基本形,やって来る,ヤッテクル,ヤッテクル
目,名詞,一般,*,*,*,*,目,メ,メ
の,助詞,連体化,*,*,*,*,の,ノ,ノ
前,名詞,副詞可能,*,*,*,*,前,マエ,マエ
の,助詞,連体化,*,*,*,*,の,ノ,ノ
欲しい,形容詞,自立,*,*,形容詞・イ段,基本形,欲しい,ホシイ,ホシイ
もの,名詞,非自立,一般,*,*,*,もの,モノ,モノ
忘れ,動詞,自立,*,*,一段,連用形,忘れる,ワスレ,ワスレ
てる,動詞,非自立,*,*,一段,基本形,てる,テル,テル
捨てる,動詞,自立,*,*,一段,基本形,捨てる,ステル,ステル
もの,名詞,非自立,一般,*,*,*,もの,モノ,モノ
今,名詞,副詞可能,*,*,*,*,今,イマ,イマ
は,助詞,係助詞,*,*,*,*,は,ハ,ワ
ただ,接続詞,*,*,*,*,*,ただ,タダ,タダ
　,記号,空白,*,*,*,*,　,　,　
君,名詞,代名詞,一般,*,*,*,君,キミ,キミ
の,助詞,格助詞,一般,*,*,*,の,ノ,ノ
言う,動詞,自立,*,*,五段・ワ行促音便,基本形,言う,イウ,イウ
通り,名詞,一般,*,*,*,*,通り,トオリ,トーリ
君,名詞,代名詞,一般,*,*,*,君,キミ,キミ
の,助詞,格助詞,一般,*,*,*,の,ノ,ノ
言う,動詞,自立,*,*,五段・ワ行促音便,基本形,言う,イウ,イウ
通り,名詞,一般,*,*,*,*,通り,トオリ,トーリ
夜,名詞,副詞可能,*,*,*,*,夜,ヨル,ヨル
は,助詞,係助詞,*,*,*,*,は,ハ,ワ
更ける,動詞,自立,*,*,一段,基本形,更ける,フケル,フケル
街,名詞,一般,*,*,*,*,街,マチ,マチ
は,助詞,係助詞,*,*,*,*,は,ハ,ワ
データ,名詞,一般,*,*,*,*,データ,データ,データ
の,助詞,連体化,*,*,*,*,の,ノ,ノ
スモッグ,名詞,一般,*,*,*,*,スモッグ,スモッグ,スモッグ
だらけ,名詞,接尾,一般,*,*,*,だらけ,ダラケ,ダラケ
あっち,名詞,代名詞,一般,*,*,*,あっち,アッチ,アッチ
も,助詞,係助詞,*,*,*,*,も,モ,モ
こっち,名詞,代名詞,一般,*,*,*,こっち,コッチ,コッチ
も,助詞,係助詞,*,*,*,*,も,モ,モ
右,名詞,一般,*,*,*,*,右,ミギ,ミギ
も,助詞,係助詞,*,*,*,*,も,モ,モ
左,名詞,一般,*,*,*,*,左,ヒダリ,ヒダリ
も,助詞,係助詞,*,*,*,*,も,モ,モ
脱皮,名詞,サ変接続,*,*,*,*,脱皮,ダッピ,ダッピ
でき,動詞,自立,*,*,一段,未然形,できる,デキ,デキ
ない,助動詞,*,*,*,特殊・ナイ,基本形,ない,ナイ,ナイ
蛇,名詞,一般,*,*,*,*,蛇,ヘビ,ヘビ
が,助詞,格助詞,一般,*,*,*,が,ガ,ガ
死ん,動詞,自立,*,*,五段・ナ行,連用タ接続,死ぬ,シン,シン
で,助詞,接続助詞,*,*,*,*,で,デ,デ
も,助詞,係助詞,*,*,*,*,も,モ,モ
それ,名詞,代名詞,一般,*,*,*,それ,ソレ,ソレ
は,助詞,係助詞,*,*,*,*,は,ハ,ワ
それ,名詞,代名詞,一般,*,*,*,それ,ソレ,ソレ
　,記号,空白,*,*,*,*,　,　,　
これ,名詞,代名詞,一般,*,*,*,これ,コレ,コレ
は,助詞,係助詞,*,*,*,*,は,ハ,ワ
これ,名詞,代名詞,一般,*,*,*,これ,コレ,コレ
　,記号,空白,*,*,*,*,　,　,　
夢,名詞,一般,*,*,*,*,夢,ユメ,ユメ
は,助詞,係助詞,*,*,*,*,は,ハ,ワ
夢,名詞,一般,*,*,*,*,夢,ユメ,ユメ
馬鹿,名詞,形容動詞語幹,*,*,*,*,馬鹿,バカ,バカ
な,助動詞,*,*,*,特殊・ダ,体言接続,だ,ナ,ナ
事件,名詞,一般,*,*,*,*,事件,ジケン,ジケン
を,助詞,格助詞,一般,*,*,*,を,ヲ,ヲ
馬鹿,名詞,形容動詞語幹,*,*,*,*,馬鹿,バカ,バカ
が,助詞,格助詞,一般,*,*,*,が,ガ,ガ
真似,名詞,サ変接続,*,*,*,*,真似,マネ,マネ
し,動詞,自立,*,*,サ変・スル,連用形,する,シ,シ
て,助詞,接続助詞,*,*,*,*,て,テ,テ
馬鹿,名詞,形容動詞語幹,*,*,*,*,馬鹿,バカ,バカ
が,助詞,格助詞,一般,*,*,*,が,ガ,ガ
次々,副詞,助詞類接続,*,*,*,*,次々,ツギツギ,ツギツギ
大袈裟,名詞,形容動詞語幹,*,*,*,*,大袈裟,オオゲサ,オーゲサ
に,助詞,格助詞,一般,*,*,*,に,ニ,ニ
する,動詞,自立,*,*,サ変・スル,基本形,する,スル,スル
僕,名詞,代名詞,一般,*,*,*,僕,ボク,ボク
は,助詞,係助詞,*,*,*,*,は,ハ,ワ
と,助詞,格助詞,引用,*,*,*,と,ト,ト
いえ,動詞,自立,*,*,五段・ワ行促音便,仮定形,いう,イエ,イエ
ば,助詞,接続助詞,*,*,*,*,ば,バ,バ
ずっと,副詞,一般,*,*,*,*,ずっと,ズット,ズット
ソファ,名詞,一般,*,*,*,*,ソファ,ソファ,ソファ
で,助詞,格助詞,一般,*,*,*,で,デ,デ
そんな,連体詞,*,*,*,*,*,そんな,ソンナ,ソンナ
興味,名詞,一般,*,*,*,*,興味,キョウミ,キョーミ
の,助詞,格助詞,一般,*,*,*,の,ノ,ノ
ない,形容詞,自立,*,*,形容詞・アウオ段,基本形,ない,ナイ,ナイ
知識,名詞,一般,*,*,*,*,知識,チシキ,チシキ
を,助詞,格助詞,一般,*,*,*,を,ヲ,ヲ
見る,動詞,自立,*,*,一段,基本形,見る,ミル,ミル
目,名詞,一般,*,*,*,*,目,メ,メ
の,助詞,連体化,*,*,*,*,の,ノ,ノ
前,名詞,副詞可能,*,*,*,*,前,マエ,マエ
の,助詞,連体化,*,*,*,*,の,ノ,ノ
欲しい,形容詞,自立,*,*,形容詞・イ段,基本形,欲しい,ホシイ,ホシイ
もの,名詞,非自立,一般,*,*,*,もの,モノ,モノ
忘れ,動詞,自立,*,*,一段,連用形,忘れる,ワスレ,ワスレ
てる,動詞,非自立,*,*,一段,基本形,てる,テル,テル
捨てる,動詞,自立,*,*,一段,基本形,捨てる,ステル,ステル
もの,名詞,非自立,一般,*,*,*,もの,モノ,モノ
今,名詞,副詞可能,*,*,*,*,今,イマ,イマ
は,助詞,係助詞,*,*,*,*,は,ハ,ワ
ただ,接続詞,*,*,*,*,*,ただ,タダ,タダ
　,記号,空白,*,*,*,*,　,　,　
君,名詞,代名詞,一般,*,*,*,君,キミ,キミ
の,助詞,格助詞,一般,*,*,*,の,ノ,ノ
言う,動詞,自立,*,*,五段・ワ行促音便,基本形,言う,イウ,イウ
通り,名詞,一般,*,*,*,*,通り,トオリ,トーリ
君,名詞,代名詞,一般,*,*,*,君,キミ,キミ
の,助詞,格助詞,一般,*,*,*,の,ノ,ノ
言う,動詞,自立,*,*,五段・ワ行促音便,基本形,言う,イウ,イウ
通り,名詞,一般,*,*,*,*,通り,トオリ,トーリ
夜,名詞,副詞可能,*,*,*,*,夜,ヨル,ヨル
は,助詞,係助詞,*,*,*,*,は,ハ,ワ
更ける,動詞,自立,*,*,一段,基本形,更ける,フケル,フケル
君,名詞,代名詞,一般,*,*,*,君,キミ,キミ
は,助詞,係助詞,*,*,*,*,は,ハ,ワ
と,助詞,格助詞,引用,*,*,*,と,ト,ト
いえ,動詞,自立,*,*,五段・ワ行促音便,仮定形,いう,イエ,イエ
ば,助詞,接続助詞,*,*,*,*,ば,バ,バ
ずっと,副詞,一般,*,*,*,*,ずっと,ズット,ズット
キッチン,名詞,一般,*,*,*,*,キッチン,キッチン,キッチン
で,助詞,格助詞,一般,*,*,*,で,デ,デ
おいしい,形容詞,自立,*,*,形容詞・イ段,基本形,おいしい,オイシイ,オイシイ
コーヒー,名詞,一般,*,*,*,*,コーヒー,コーヒー,コーヒー
を,助詞,格助詞,一般,*,*,*,を,ヲ,ヲ
煎,動詞,自立,*,*,五段・ラ行,体言接続特殊２,煎る,イ,イ
れる,動詞,接尾,*,*,一段,基本形,れる,レル,レル
こと,名詞,非自立,一般,*,*,*,こと,コト,コト
に,助詞,格助詞,一般,*,*,*,に,ニ,ニ
夢中,名詞,形容動詞語幹,*,*,*,*,夢中,ムチュウ,ムチュー
僕,名詞,代名詞,一般,*,*,*,僕,ボク,ボク
は,助詞,係助詞,*,*,*,*,は,ハ,ワ
と,助詞,格助詞,引用,*,*,*,と,ト,ト
いえ,動詞,自立,*,*,五段・ワ行促音便,仮定形,いう,イエ,イエ
ば,助詞,接続助詞,*,*,*,*,ば,バ,バ
ずっと,副詞,一般,*,*,*,*,ずっと,ズット,ズット
ソファ,名詞,一般,*,*,*,*,ソファ,ソファ,ソファ
で,助詞,格助詞,一般,*,*,*,で,デ,デ
潜っ,動詞,自立,*,*,五段・ラ行,連用タ接続,潜る,モグッ,モグッ
て,助詞,接続助詞,*,*,*,*,て,テ,テ
も,助詞,係助詞,*,*,*,*,も,モ,モ
い,動詞,自立,*,*,一段,未然形,いる,イ,イ
ない,助動詞,*,*,*,特殊・ナイ,基本形,ない,ナイ,ナイ
海,名詞,一般,*,*,*,*,海,ウミ,ウミ
に,助詞,格助詞,一般,*,*,*,に,ニ,ニ
潜る,動詞,自立,*,*,五段・ラ行,基本形,潜る,モグル,モグル
何,名詞,代名詞,一般,*,*,*,何,ナニ,ナニ
を,助詞,格助詞,一般,*,*,*,を,ヲ,ヲ
そんなに,副詞,一般,*,*,*,*,そんなに,ソンナニ,ソンナニ
知り,動詞,自立,*,*,五段・ラ行,連用形,知る,シリ,シリ
た,助動詞,*,*,*,特殊・タイ,ガル接続,たい,タ,タ
がっ,動詞,接尾,*,*,五段・ラ行,連用タ接続,がる,ガッ,ガッ
てる,動詞,非自立,*,*,一段,基本形,てる,テル,テル
の,助詞,終助詞,*,*,*,*,の,ノ,ノ
？,記号,一般,*,*,*,*,？,？,？
何,名詞,代名詞,一般,*,*,*,何,ナニ,ナニ
を,助詞,格助詞,一般,*,*,*,を,ヲ,ヲ
そんなに,副詞,一般,*,*,*,*,そんなに,ソンナニ,ソンナニ
知り,動詞,自立,*,*,五段・ラ行,連用形,知る,シリ,シリ
た,助動詞,*,*,*,特殊・タイ,ガル接続,たい,タ,タ
がっ,動詞,接尾,*,*,五段・ラ行,連用タ接続,がる,ガッ,ガッ
てる,動詞,非自立,*,*,一段,基本形,てる,テル,テル
の,助詞,終助詞,*,*,*,*,の,ノ,ノ
？,記号,一般,*,*,*,*,？,？,？
それ,名詞,代名詞,一般,*,*,*,それ,ソレ,ソレ
が,助詞,格助詞,一般,*,*,*,が,ガ,ガ
何だか,副詞,一般,*,*,*,*,何だか,ナンダカ,ナンダカ
分から,動詞,自立,*,*,五段・ラ行,未然形,分かる,ワカラ,ワカラ
ない,助動詞,*,*,*,特殊・ナイ,基本形,ない,ナイ,ナイ
なら,助動詞,*,*,*,特殊・ダ,仮定形,だ,ナラ,ナラ
公園,名詞,一般,*,*,*,*,公園,コウエン,コーエン
の,助詞,連体化,*,*,*,*,の,ノ,ノ
ベンチ,名詞,一般,*,*,*,*,ベンチ,ベンチ,ベンチ
に,助詞,格助詞,一般,*,*,*,に,ニ,ニ
聞い,動詞,自立,*,*,五段・カ行イ音便,連用タ接続,聞く,キイ,キイ
て,助詞,接続助詞,*,*,*,*,て,テ,テ
ごらん,名詞,動詞非自立的,*,*,*,*,ごらん,ゴラン,ゴラン
ペットボトル,名詞,一般,*,*,*,*,ペットボトル,ペットボトル,ペットボトル
を,助詞,格助詞,一般,*,*,*,を,ヲ,ヲ
首,名詞,一般,*,*,*,*,首,クビ,クビ
から,助詞,格助詞,一般,*,*,*,から,カラ,カラ
下げ,動詞,自立,*,*,一段,連用形,下げる,サゲ,サゲ
て,助詞,接続助詞,*,*,*,*,て,テ,テ
買っ,動詞,自立,*,*,五段・ワ行促音便,連用タ接続,買う,カッ,カッ
た,助動詞,*,*,*,特殊・タ,基本形,た,タ,タ
ばかり,助詞,副助詞,*,*,*,*,ばかり,バカリ,バカリ
の,助詞,連体化,*,*,*,*,の,ノ,ノ
自転車,名詞,一般,*,*,*,*,自転車,ジテンシャ,ジテンシャ
で,助詞,格助詞,一般,*,*,*,で,デ,デ
洒落,動詞,自立,*,*,一段,連用形,洒落る,シャレ,シャレ
た,助動詞,*,*,*,特殊・タ,基本形,た,タ,タ
ブティック,名詞,一般,*,*,*,*,ブティック,ブティック,ブティック
の,助詞,連体化,*,*,*,*,の,ノ,ノ
すぐ,副詞,助詞類接続,*,*,*,*,すぐ,スグ,スグ
隣,名詞,一般,*,*,*,*,隣,トナリ,トナリ
は,助詞,係助詞,*,*,*,*,は,ハ,ワ
キンコンカンコン,名詞,一般,*,*,*,*,*
鉄工,名詞,一般,*,*,*,*,鉄工,テッコウ,テッコー
所,名詞,接尾,一般,*,*,*,所,ショ,ショ
前,名詞,副詞可能,*,*,*,*,前,マエ,マエ
の,助詞,連体化,*,*,*,*,の,ノ,ノ
車,名詞,一般,*,*,*,*,車,クルマ,クルマ
が,助詞,格助詞,一般,*,*,*,が,ガ,ガ
何,名詞,数,*,*,*,*,何,ナン,ナン
度,名詞,接尾,助数詞,*,*,*,度,ド,ド
も,助詞,係助詞,*,*,*,*,も,モ,モ
ハザード,名詞,一般,*,*,*,*,ハザード,ハザード,ハザード
出し,動詞,自立,*,*,五段・サ行,連用形,出す,ダシ,ダシ
て,助詞,接続助詞,*,*,*,*,て,テ,テ
それ,名詞,代名詞,一般,*,*,*,それ,ソレ,ソレ
じゃ,助詞,副助詞,*,*,*,*,じゃ,ジャ,ジャ
いつ,名詞,代名詞,一般,*,*,*,いつ,イツ,イツ
が,助詞,格助詞,一般,*,*,*,が,ガ,ガ
本当,名詞,一般,*,*,*,*,本当,ホントウ,ホントー
か,助詞,副助詞／並立助詞／終助詞,*,*,*,*,か,カ,カ
わから,動詞,自立,*,*,五段・ラ行,未然形,わかる,ワカラ,ワカラ
ない,助動詞,*,*,*,特殊・ナイ,基本形,ない,ナイ,ナイ
目,名詞,一般,*,*,*,*,目,メ,メ
の,助詞,連体化,*,*,*,*,の,ノ,ノ
前,名詞,副詞可能,*,*,*,*,前,マエ,マエ
の,助詞,連体化,*,*,*,*,の,ノ,ノ
欲しい,形容詞,自立,*,*,形容詞・イ段,基本形,欲しい,ホシイ,ホシイ
もの,名詞,非自立,一般,*,*,*,もの,モノ,モノ
忘れ,動詞,自立,*,*,一段,連用形,忘れる,ワスレ,ワスレ
てる,動詞,非自立,*,*,一段,基本形,てる,テル,テル
捨てる,動詞,自立,*,*,一段,基本形,捨てる,ステル,ステル
もの,名詞,非自立,一般,*,*,*,もの,モノ,モノ
今,名詞,副詞可能,*,*,*,*,今,イマ,イマ
は,助詞,係助詞,*,*,*,*,は,ハ,ワ
ただ,接続詞,*,*,*,*,*,ただ,タダ,タダ
　,記号,空白,*,*,*,*,　,　,　
君,名詞,代名詞,一般,*,*,*,君,キミ,キミ
の,助詞,格助詞,一般,*,*,*,の,ノ,ノ
言う,動詞,自立,*,*,五段・ワ行促音便,基本形,言う,イウ,イウ
通り,名詞,一般,*,*,*,*,通り,トオリ,トーリ
それ,名詞,代名詞,一般,*,*,*,それ,ソレ,ソレ
が,助詞,格助詞,一般,*,*,*,が,ガ,ガ
本当,名詞,一般,*,*,*,*,本当,ホントウ,ホントー
の,助詞,連体化,*,*,*,*,の,ノ,ノ
幸せ,名詞,形容動詞語幹,*,*,*,*,幸せ,シアワセ,シアワセ
な,助動詞,*,*,*,特殊・ダ,体言接続,だ,ナ,ナ
